名称,分类,地区,原描述,原字数,新描述(100-200字),备注
中国社会科学院文学研究所,研究机构,国内-北京,中国社会科学院文学研究所,12,中国社会科学院文学研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院哲学研究所,研究机构,国内-北京,中国社会科学院哲学研究所,12,中国社会科学院哲学研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院民族学与人类学研究所,研究机构,国内-北京,中国社会科学院民族学与人类学研究所,17,中国社会科学院民族学与人类学研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国国家博物馆学术研究中心,研究机构,国内-北京,国家博物馆学术研究中心,11,中国国家博物馆学术研究中心是北京文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
中国非物质文化遗产保护中心,研究机构,国内-北京,中国非物质文化遗产保护中心,13,中国非物质文化遗产保护中心专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
敦煌研究院文献研究所,研究机构,国内-甘肃,敦煌研究院文献研究所,10,敦煌研究院文献研究所是甘肃文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
秦始皇陵博物院,研究机构,国内-陕西,文化遗产领域专业研究机构,12,秦始皇陵博物院是陕西文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
西安碑林博物馆,研究机构,国内-陕西,文化遗产领域专业研究机构,12,西安碑林博物馆是陕西文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
南京博物院文物保护研究所,研究机构,国内-江苏,南京博物院文物保护研究所,12,南京博物院文物保护研究所是江苏文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
上海博物馆文物保护研究所,研究机构,国内-上海,上海博物馆文物保护研究所,12,上海博物馆文物保护研究所专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国文物保护技术协会科技委员会,研究机构,国内-北京,中国文物保护技术协会科技委员会,15,中国文物保护技术协会科技委员会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国博物馆学会陈列艺术委员会,研究机构,国内-北京,中国博物馆学会陈列艺术委员会,14,中国博物馆学会陈列艺术委员会是文化遗产领域的专业学术团体，汇聚本领域专家学者和从业者。通过组织学术研讨会、出版专业刊物、开展课题研究等方式，推动文化遗产保护理论创新和实践发展。在行业标准制定、专业人才培养和社会公众教育方面发挥积极作用，是连接学术研究与实践应用的重要桥梁。,学会协会标准描述
中国文物学会文物修复委员会,研究机构,国内-北京,中国文物学会文物修复委员会,13,中国文物学会文物修复委员会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国考古学会宋辽金元委员会,研究机构,国内-北京,中国考古学会宋辽金元委员会,13,中国考古学会宋辽金元委员会是文化遗产领域的专业学术团体，汇聚本领域专家学者和从业者。通过组织学术研讨会、出版专业刊物、开展课题研究等方式，推动文化遗产保护理论创新和实践发展。在行业标准制定、专业人才培养和社会公众教育方面发挥积极作用，是连接学术研究与实践应用的重要桥梁。,学会协会标准描述
中国紫禁城学会文物保护委员会,研究机构,国内-北京,中国紫禁城学会文物保护委员会,14,中国紫禁城学会文物保护委员会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
国际文物修复学会中国分会,研究机构,国际-中国,国际文物修复学会中国分会,12,国际文物修复学会中国分会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国文化遗产保护学会传统村落委员会,研究机构,国内-北京,中国文化遗产保护学会传统村落委员会,17,中国文化遗产保护学会传统村落委员会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国建筑学会建筑史学分会,研究机构,国内-北京,中国建筑学会建筑史学分会,12,中国建筑学会建筑史学分会是文化遗产领域的专业学术团体，汇聚本领域专家学者和从业者。通过组织学术研讨会、出版专业刊物、开展课题研究等方式，推动文化遗产保护理论创新和实践发展。在行业标准制定、专业人才培养和社会公众教育方面发挥积极作用，是连接学术研究与实践应用的重要桥梁。,学会协会标准描述
中国社会科学院世界历史研究所,研究机构,国内-北京,中国社会科学院世界历史研究所,14,中国社会科学院世界历史研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院近代史研究所,研究机构,国内-北京,中国社会科学院近代史研究所,13,中国社会科学院近代史研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院古代史研究所,研究机构,国内-北京,中国社会科学院古代史研究所,13,中国社会科学院古代史研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院世界宗教研究所,研究机构,国内-北京,中国社会科学院世界宗教研究所,14,中国社会科学院世界宗教研究所隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
中国社会科学院艺术研究院,研究机构,国内-北京,中国社会科学院艺术研究院,12,中国社会科学院艺术研究院隶属于中国社会科学院，是中国人文社会科学领域的重要研究机构。依托中国社科院强大的学术资源和平台优势，开展相关学科的学术研究、人才培养和国际交流工作，承担国家级科研项目，出版高水平学术成果，在推动中国哲学社会科学繁荣发展中发挥引领作用。,中国社会科学院体系标准描述
河南省文物考古研究院,研究机构,国内-河南,河南省文物考古研究院,10,河南省文物考古研究院是河南考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
山东省文物考古研究院,研究机构,国内-山东,山东省文物考古研究院,10,山东省文物考古研究院是山东考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
江苏省文物考古研究所,研究机构,国内-江苏,江苏省文物考古研究所,10,江苏省文物考古研究所是江苏考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
浙江省文物考古研究所,研究机构,国内-浙江,浙江省文物考古研究所,10,浙江省文物考古研究所是浙江考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
四川省文物考古研究院,研究机构,国内-四川,四川省文物考古研究院,10,四川省文物考古研究院是四川考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
湖北省文物考古研究所,研究机构,国内-湖北,湖北省文物考古研究所,10,湖北省文物考古研究所是湖北考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
湖南省文物考古研究所,研究机构,国内-湖南,湖南省文物考古研究所,10,湖南省文物考古研究所是湖南考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
广东省文物考古研究所,研究机构,国内-广东,广东省文物考古研究所,10,广东省文物考古研究所是广东考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
福建省文物考古研究所,研究机构,国内-福建,福建省文物考古研究所,10,福建省文物考古研究所是福建考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
江西省文物考古研究所,研究机构,国内-江西,江西省文物考古研究所,10,江西省文物考古研究所是江西考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
安徽省文物考古研究所,研究机构,国内-安徽,安徽省文物考古研究所,10,安徽省文物考古研究所是安徽考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
河北省文物考古研究所,研究机构,国内-河北,河北省文物考古研究所,10,河北省文物考古研究所是河北考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
辽宁省文物考古研究所,研究机构,国内-辽宁,辽宁省文物考古研究所,10,辽宁省文物考古研究所是辽宁考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
吉林省文物考古研究所,研究机构,国内-吉林,吉林省文物考古研究所,10,吉林省文物考古研究所是吉林考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
黑龙江省文物考古研究所,研究机构,国内-黑龙江,黑龙江省文物考古研究所,11,黑龙江省文物考古研究所是黑龙江考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
内蒙古文物考古研究所,研究机构,国内-内蒙古,内蒙古文物考古研究所,10,内蒙古文物考古研究所是内蒙古考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
云南省文物考古研究所,研究机构,国内-云南,云南省文物考古研究所,10,云南省文物考古研究所是云南考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
贵州省文物考古研究所,研究机构,国内-贵州,贵州省文物考古研究所,10,贵州省文物考古研究所是贵州考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
广西文物保护研究,研究机构,国内-广西,文化遗产领域专业研究机构,12,广西文物保护研究专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
海南省文物保护研究所,研究机构,国内-海南,海南省文物保护研究所,10,海南省文物保护研究所专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
青海省文物考古研究所,研究机构,国内-青海,青海省文物考古研究所,10,青海省文物考古研究所是青海考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
甘肃省文物考古研究所,研究机构,国内-甘肃,甘肃省文物考古研究所,10,甘肃省文物考古研究所是甘肃考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
北京大学艺术学院,研究机构,国内-北京,文化遗产领域专业研究机构,12,北京大学艺术学院是北京文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
武汉大学考古学系,研究机构,国内-湖北,文化遗产领域专业研究机构,12,武汉大学考古学系是湖北文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
中山大学考古学系,研究机构,国内-广东,文化遗产领域专业研究机构,12,中山大学考古学系是广东文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
厦门大学考古学系,研究机构,国内-福建,文化遗产领域专业研究机构,12,厦门大学考古学系是福建文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
吉林大学考古学系,研究机构,国内-吉林,文化遗产领域专业研究机构,12,吉林大学考古学系是吉林文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
中国人民大学考古学系,研究机构,国内-北京,中国人民大学考古学系,10,中国人民大学考古学系是北京文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
中国美术学院艺术人文学院,研究机构,国内-浙江,中国美术学院艺术人文学院,12,中国美术学院艺术人文学院是浙江文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
史密森尼学会保护中心,研究机构,国际-美国,史密森尼学会保护中心,10,史密森尼学会保护中心专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
美国国家艺术馆保护实验室,研究机构,国际-美国,美国国家艺术馆保护实验室,12,美国国家艺术馆保护实验室专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
UCL考古学系,研究机构,国际-英国,伦敦大学学院考古学系,10,UCL考古学系是英国文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
卢浮宫保护实验室,研究机构,国际-法国,文化遗产领域专业研究机构,12,卢浮宫保护实验室专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
法国国家遗产中心,研究机构,国际-法国,文化遗产领域专业研究机构,12,法国国家遗产中心是法国文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
法国高等建筑学院,研究机构,国际-法国,文化遗产领域专业研究机构,12,法国高等建筑学院是法国文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
罗马一大考古学院,研究机构,国际-意大利,文化遗产领域专业研究机构,12,罗马一大考古学院是意大利文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
米兰理工建筑学院,研究机构,国际-意大利,文化遗产领域专业研究机构,12,米兰理工建筑学院是意大利文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
东京大学综合研究博物馆,研究机构,国际-日本,东京大学综合研究博物馆,11,东京大学综合研究博物馆是日本文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
日本文化财保护研究所,研究机构,国际-日本,日本文化财保护研究所,10,日本文化财保护研究所专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
首尔大学考古学系,研究机构,国际-韩国,文化遗产领域专业研究机构,12,首尔大学考古学系是韩国文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
悉尼大学艺术学院,研究机构,国际-澳大利亚,文化遗产领域专业研究机构,12,悉尼大学艺术学院是澳大利亚文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
墨尔本大学艺术学院,研究机构,国际-澳大利亚,文化遗产领域专业研究机构,12,墨尔本大学艺术学院是澳大利亚文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
多伦多大学考古系,研究机构,国际-加拿大,文化遗产领域专业研究机构,12,多伦多大学考古系是加拿大文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
代尔夫特理工建筑学院,研究机构,国际-荷兰,代尔夫特理工建筑学院,10,代尔夫特理工建筑学院是荷兰文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
西班牙文化遗产研究所,研究机构,国际-西班牙,西班牙文化遗产研究所,10,西班牙文化遗产研究所是西班牙文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
新加坡国立大学,研究机构,国际-新加坡,新加坡国立大学艺术学院,11,新加坡国立大学是新加坡文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
香港故宫文化博物馆,研究机构,国际-香港,文化遗产领域专业研究机构,12,香港故宫文化博物馆是香港文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
台湾大学艺术史研究所,研究机构,国际-台湾,台湾大学艺术史研究所,10,台湾大学艺术史研究所是台湾文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
